Year,Name,College,POS,Height,Weight,HandSize,ArmLength,Wonderlic,FortyYard,BenchPress,VertLeap,BroadJump,Shuttle,ThreeCone,SixtyYdShuttle,Touches,RushAvg,RushTDPct,RecAvg,RecTDPct,Rookie AV
2007,Chris Henry,Arizona,RB,71.25,230,10.25,31.25,,4.41,26,36,127,4.14,6.96,11.51,295,3.3,0.033,7.9,0.038,1
2007,Dwayne Wright,Fresno St.,RB,71.5,228,9.5,31.25,,4.69,14,34,115,4.43,7.23,,552,5.4,0.032,8.4,0.039,1
2007,Alonzo Coleman,Hampton,RB,69.875,207,10,30.5,,4.5,27,,120,,,,0,,,,,0
2007,D.J. Ware,Illinois,RB,72,225,,,,,21,,,,,,0,,,,,0
2007,Jon Cornish,Kansas,RB,71.5,206,9.75,33,,4.65,,34,118,,7.09,,427,5.8,0.044,8.6,0.075,0
2007,Ramonce Taylor,Texas,RB,70.125,195,,,,4.5,,34,125,4.23,6.98,,134,7.7,0.125,11,0.1,0
2007,Ronnie McGill,North Carolina,RB,70.875,213,,,,,22,,,,,,568,4.5,0.045,8.2,0.051,0
2007,Tyrone Moss,Miami (FL),RB,69.13,231,9.5,31.13,,4.8,16,31,107,4.56,,,420,4.7,0.063,5.6,0,0
2007,Kenny Irons,Auburn,RB,70.625,203,9.38,32.38,,4.5,11,29.5,111,4.17,7.18,11.67,550,4.7,0.035,10.4,0.033,0
2007,Nate Ilaoa,Hawaii,RB,68.875,245,9.13,29.63,,4.79,25,30,103,4.42,7.1,11.78,373,7.6,0.09,11.2,0.06,0
2007,Thomas Clayton,Kansas St.,RB,70.25,218,9.75,32.38,,4.66,23,36.5,121,,,,254,4.6,0.03,5.7,0.045,0
2008,Ray Rice,Rutgers,RB,68,199,9.25,30.25,,4.46,23,31.5,119,4.2,6.65,,947,5.4,0.054,9,0.027,53
2008,Chris Johnson,East Carolina,RB,71,197,8.5,30.75,10,4.3,,35,130,,,,749,4.8,0.051,10.4,0.08,52
2008,Matt Forte',Tulane,RB,73.375,217,,,,4.44,23,33,118,4.23,6.84,,936,5.1,0.047,9.6,0.049,43
2008,Jamaal Charles,Texas,RB,71,200,8.75,32.13,,4.41,,30.5,122,4.22,6.8,,582,6.2,0.068,11,0.061,30
2008,Jonathan Stewart,Oregon,RB,70.25,235,9.13,31.5,,4.48,28,36.5,128,4.53,7.44,,565,5.6,0.052,6.8,0.082,29
2008,Darren McFadden,Arkansas,RB,73.25,211,9.5,34.25,,4.38,,33,128,,,,831,5.8,0.052,7.9,0.043,26
2008,Rashard Mendenhall,Illinois,RB,70.125,225,10.88,31.38,,4.45,26,33.5,117,4.18,,,447,6.5,0.057,9.6,0.085,26
2008,Felix Jones,Arkansas,RB,70.125,207,8.38,32.38,,4.5,,33.5,124,4.19,6.9,,425,7.7,0.052,9.8,0.077,23
2008,BenJarvus Green-Ellis,Mississippi,RB,70.63,219,9,30.38,,4.66,24,30.5,114,,,,959,4.2,0.027,8.1,0.026,22
2008,Steve Slaton,West Virginia,RB,69.125,197,8.75,32.25,,4.49,19,33.5,118,,,,729,5.9,0.075,12.4,0.077,20
2008,Kevin Smith,Central Florida,RB,73.125,217,9.75,32.25,,4.56,,32,120,4.49,6.74,,960,5.2,0.05,8.1,0.018,19
2008,Justin Forsett,California,RB,68,194,,,,,26,26.5,112,,6.96,,608,5.7,0.046,9.4,0.024,13
2008,Tashard Choice,Georgia Tech,RB,70.5,215,9.25,30.75,,4.5,20,34,119,,6.88,,738,5,0.04,7,0,12
2008,Ryan Torain,Arizona St.,RB,72.375,222,10,32.75,,4.68,21,34,120,,,,358,5.4,0.036,12.2,0.2,5
2008,Chad Simpson,Morgan St.,RB,68.625,216,9.25,30.5,,4.43,,32.5,124,,,,17,5.1,0,0,,3
2008,Kregg Lumpkin,Georgia,RB,71.5,226,9.13,31.38,,4.73,22,28,111,,,,390,4.8,0.043,6.2,0.053,3
2008,Mike Hart,Michigan,RB,68.875,206,9.13,29.5,,4.77,23,28,110,,,,1082,5,0.04,8.4,0.03,3
2008,Dantrell Savage,Oklahoma St.,RB,68.25,187,8.13,31,,4.6,13,32.5,117,,,,384,6,0.049,8.8,0.057,1
2008,Anthony Alridge,Houston,RB,69,170,9,30.38,,4.41,,30.5,134,,6.88,,437,7.1,0.061,13.5,0.122,0
